program - SIMBOLO_PROGRAM
input3 - IDENT
; - PONTO_VIRGULA
procedure - SIMBOLO_PROCEDURE
testprocedure - IDENT
( - SIMBOLO_APAR
var - SIMBOLO_VAR
y - IDENT
: - DOIS_PONTOS
real - SIMBOLO_REAL
) - SIMBOLO_FPAR
; - PONTO_VIRGULA
var - SIMBOLO_VAR
x - IDENT
: - DOIS_PONTOS
const - SIMBOLO_CONST
; - PONTO_VIRGULA
var - SIMBOLO_VAR
z - IDENT
: - DOIS_PONTOS
integer - SIMBOLO_INTEGER
; - PONTO_VIRGULA
begin - SIMBOLO_BEGIN
var - SIMBOLO_VAR
result - IDENT
: - DOIS_PONTOS
real - SIMBOLO_REAL
; - PONTO_VIRGULA
result - IDENT
:= - ATRIBUICAO
2 - NUMERO_INT
* - MULT
x - IDENT
+ - SOMA
y - IDENT
; - PONTO_VIRGULA
z - IDENT
:= - ATRIBUICAO
12a - ERRO
; - PONTO_VIRGULA
y - IDENT
:= - ATRIBUICAO
_3 - ERRO
. - PONTO
14159 - NUMERO_INT
; - PONTO_VIRGULA
z - IDENT
:= - ATRIBUICAO
12.3a4 - ERRO
; - PONTO_VIRGULA
a - IDENT
= - IGUAL
12 - NUMERO_INT
+ - SOMA
2 - NUMERO_INT
* - MULT
cos - IDENT
( - SIMBOLO_APAR
3.14 - NUMERO_REAL
) - SIMBOLO_FPAR
; - PONTO_VIRGULA
a2 - IDENT
= - IGUAL
sen - IDENT
( - SIMBOLO_APAR
45 - NUMERO_INT
) - SIMBOLO_FPAR
-10 - NUMERO_INT
* - MULT
( - SIMBOLO_APAR
300 - NUMERO_INT
) - SIMBOLO_FPAR
; - PONTO_VIRGULA
end - SIMBOLO_END
